NVSCode,TaxonID,SpeciesName,Family,Genus,Species,BioStatus,PlantType,Palatibility,GrowthForm,PreferredTaxonID,PreferredCode,PreferredName,VernacularNames
MYOGOY,2206,Myosotis goyenii,Boraginaceae,Myosotis,goyenii,Indigenous Endemic,Vascular,Unclassified,Forb,2206,MYOGOY,Myosotis goyenii,
MYOHOR,3326,Myosotidium hortensia,Boraginaceae,Myosotidium,hortensia,Indigenous Endemic,Vascular,Unclassified,Forb,3326,MYOHOR,Myosotidium hortensia,Chatham Island forget-me-not; Giant forget-me-not; kopakopa; Kōpukapuka; 
MYOINS,6082,Myoporum insulare,Scrophulariaceae,Myoporum,insulare,Exotic,Vascular,Unclassified,Tree,6082,MYOINS,Myoporum insulare,Australian ngaio; Boobialla; Tasmanian ngaio; 
MYOLAA,7450,Myosotis laeta,Boraginaceae,Myosotis,laeta,Indigenous Endemic,Vascular,Unclassified,Forb,7450,MYOLAA,Myosotis laeta,
MYOLAE,2193,Myoporum laetum,Scrophulariaceae,Myoporum,laetum,Indigenous Endemic,Vascular,Avoided,Tree,2193,MYOLAE,Myoporum laetum,Ngaio; 
MYOLAX,2207,Myosotis laxa,Boraginaceae,Myosotis,laxa,Exotic,Vascular,Unclassified,Forb,2207,MYOLAX,Myosotis laxa,Water forget-me-not; 
MYOLSC,3145,Myosotis laxa subsp. caespitosa,Boraginaceae,Myosotis,laxa,Exotic,Vascular,Unclassified,Forb,3145,MYOLSC,Myosotis laxa subsp. caespitosa,
MYOLVL,7753,Myoporum laetum var. laetum,Scrophulariaceae,Myoporum,laetum,Indigenous Endemic,Vascular,Avoided,Tree,2193,MYOLAE,Myoporum laetum,
MYOLYA,5412,Myosotis lyallii,Boraginaceae,Myosotis,lyallii,Indigenous Endemic,Vascular,Unclassified,Forb,5412,MYOLYA,Myosotis lyallii,
MYOLYT,6850,Myosotis lytteltonensis,Boraginaceae,Myosotis,lytteltonensis,Indigenous Endemic,Vascular,Unclassified,Forb,6850,MYOLYT,Myosotis lytteltonensis,
MYOMAC,2208,Myosotis macrantha,Boraginaceae,Myosotis,macrantha,Indigenous Endemic,Vascular,Unclassified,Forb,2208,MYOMAC,Myosotis macrantha,Bronze forget-me-not; 
MYOMIN,6512,Myosurus minimus,Ranunculaceae,Myosurus,minimus,Indigenous Non-Endemic,Vascular,Unclassified,Forb,6512,MYOMIN,Myosurus minimus,Mousetail; 
MYOMON,5339,Myosotis monroi,Boraginaceae,Myosotis,monroi,Indigenous Endemic,Vascular,Unclassified,Forb,5339,MYOMON,Myosotis monroi,
MYOMSN,6230,Myosurus minimus subsp. novae-zelandiae,Ranunculaceae,Myosurus,minimus,Indigenous Endemic,Vascular,Unclassified,Forb,6230,MYOMSN,Myosurus minimus subsp. novae-zelandiae,
MYONOV,2221,Myosurus novae-zelandiae,Ranunculaceae,Myosurus,novae-zelandiae,Indigenous Endemic,Vascular,Unclassified,Forb,6230,MYOMSN,Myosurus minimus subsp. novae-zelandiae,
MYOOBS,6918,Myoporum obscurum,Scrophulariaceae,Myoporum,obscurum,Indigenous Non-Endemic,Vascular,Unclassified,Tree,6918,MYOOBS,Myoporum obscurum,
MYOPOR,2194,Myoporum species,Scrophulariaceae,Myoporum,,Indigenous Non-Endemic,Vascular,Unclassified,Tree,2194,MYOPOR,Myoporum species,
MYOPUL,2209,Myosotis pulvinaris,Boraginaceae,Myosotis,pulvinaris,Indigenous Endemic,Vascular,Unclassified,Forb,2209,MYOPUL,Myosotis pulvinaris,
MYOPVD,4378,Myosotis pygmaea var. drucei,Boraginaceae,Myosotis,pygmaea,Indigenous Endemic,Vascular,Unclassified,Forb,6777,MYODRU,Myosotis drucei,
MYOPVM,5423,Myosotis pygmaea var. minutiflora,Boraginaceae,Myosotis,pygmaea,Indigenous Endemic,Vascular,Unclassified,Forb,6775,MYOBRE,Myosotis brevis,
MYOPVP,5483,Myosotis pygmaea var. pygmaea,Boraginaceae,Myosotis,pygmaea,Indigenous Endemic,Vascular,Unclassified,Forb,2210,MYOPYG,Myosotis pygmaea,
MYOPYG,2210,Myosotis pygmaea,Boraginaceae,Myosotis,pygmaea,Indigenous Endemic,Vascular,Unclassified,Forb,2210,MYOPYG,Myosotis pygmaea,
MYORAK,2213,Myosotis rakiura,Boraginaceae,Myosotis,rakiura,Indigenous Endemic,Vascular,Unclassified,Forb,2213,MYORAK,Myosotis rakiura,Stewart Island forget-me-not; 
MYOSAX,6229,Myosotis saxosa,Boraginaceae,Myosotis,saxosa,Indigenous Endemic,Vascular,Unclassified,Forb,6229,MYOSAX,Myosotis saxosa,
MYOSCO,2214,Myosotis scorpioides,Boraginaceae,Myosotis,scorpioides,Exotic,Vascular,Unclassified,Forb,2214,MYOSCO,Myosotis scorpioides,Water forget-me-not; 
MYOSOT,2216,Myosotis species,Boraginaceae,Myosotis,,Indigenous Non-Endemic,Vascular,Unclassified,Forb,2216,MYOSOT,Myosotis species,Forget-me-not; 
MYOSPA,2215,Myosotis spathulata,Boraginaceae,Myosotis,spathulata,Indigenous Endemic,Vascular,Unclassified,Forb,2215,MYOSPA,Myosotis spathulata,
MYOSSS,7717,Myosotis sylvatica subsp. sylvatica,Boraginaceae,Myosotis,sylvatica,Exotic,Vascular,Unclassified,Forb,7717,MYOSSS,Myosotis sylvatica subsp. sylvatica,
MYOSTR,4843,Myosotis stricta,Boraginaceae,Myosotis,stricta,Exotic,Vascular,Unclassified,Forb,4843,MYOSTR,Myosotis stricta,Grassland forget-me-not; 
MYOSUA,2217,Myosotis suavis,Boraginaceae,Myosotis,suavis,Indigenous Endemic,Vascular,Unclassified,Forb,2217,MYOSUA,Myosotis suavis,
MYOSYL,6672,Myosotis sylvatica,Boraginaceae,Myosotis,sylvatica,Exotic,Vascular,Unclassified,Forb,6672,MYOSYL,Myosotis sylvatica,Forget-me-not; garden forget-me-not; 
MYOTEN,2218,Myosotis tenericaulis,Boraginaceae,Myosotis,tenericaulis,Indigenous Endemic,Vascular,Unclassified,Forb,2218,MYOTEN,Myosotis tenericaulis,
MYOTRA,2219,Myosotis traversii,Boraginaceae,Myosotis,traversii,Indigenous Endemic,Vascular,Unclassified,Forb,2219,MYOTRA,Myosotis traversii,
MYOTVC,3250,Myosotis traversii var. cantabrica,Boraginaceae,Myosotis,traversii,Indigenous Endemic,Vascular,Unclassified,Forb,3250,MYOTVC,Myosotis traversii var. cantabrica,
MYOTVT,7591,Myosotis traversii var. traversii,Boraginaceae,Myosotis,traversii,Indigenous Endemic,Vascular,Unclassified,Forb,7591,MYOTVT,Myosotis traversii var. traversii,
MYOUNI,2220,Myosotis uniflora,Boraginaceae,Myosotis,uniflora,Indigenous Endemic,Vascular,Unclassified,Forb,2220,MYOUNI,Myosotis uniflora,
MYOVER,7164,Myosotis versicolor,Boraginaceae,Myosotis,versicolor,Unknown,Vascular,Unclassified,Forb,7164,MYOVER,Myosotis versicolor,
MYOYEL,5368,Myosotis australis 'yellow',,,,Unknown,Vascular,Unclassified,Forb,5368,MYOYEL,Myosotis australis 'yellow',
MYRAQL,5117,Myrsine aquilonia,Primulaceae,Myrsine,aquilonia,Indigenous Endemic,Vascular,Unclassified,Tree,5117,MYRAQL,Myrsine aquilonia,
MYRAQU,2222,Myriophyllum aquaticum,Haloragaceae,Myriophyllum,aquaticum,Exotic,Vascular,Unclassified,SubShrub,2222,MYRAQU,Myriophyllum aquaticum,Brazilian water milfoil; Parrot's feather; Thread of life; Water feather; 
MYRAUS,2228,Myrsine australis,Primulaceae,Myrsine,australis,Indigenous Endemic,Vascular,Preferred,Tree,2228,MYRAUS,Myrsine australis,Māpau; Māpou; Mataira; Matipou; Red mapou; Red matipo; Takapou; Tāpau; Tīpau; 
MYRAXD,4820,Myrsine australis x divaricata,,,,Indigenous Endemic,Vascular,Unclassified,Tree,4820,MYRAXD,Myrsine australis x divaricata,
MYRCHA,3316,Myrsine chathamica,Primulaceae,Myrsine,chathamica,Indigenous Endemic,Vascular,Unclassified,Tree,3316,MYRCHA,Myrsine chathamica,Chatham Island mapou; 
MYRCOX,5445,Myrsine coxii,Primulaceae,Myrsine,coxii,Indigenous Endemic,Vascular,Unclassified,Tree,5445,MYRCOX,Myrsine coxii,Swamp mapou; 
MYRDIV,2229,Myrsine divaricata,Primulaceae,Myrsine,divaricata,Indigenous Endemic,Vascular,Not Selected,Tree,2229,MYRDIV,Myrsine divaricata,Weeping mapou; Weeping matipo; 
MYRDXS,2230,Myrsine divaricata x salicina,Primulaceae,Myrsine,divaricata × salicina,Indigenous Endemic,Vascular,Unclassified,Tree,6231,MYRXMO,Myrsine xmontana,
MYRELA,2223,Myriophyllum elatinoides,Haloragaceae,Myriophyllum,elatinoides,Exotic,Vascular,Unclassified,SubShrub,2223,MYRELA,Myriophyllum elatinoides,
MYRGER,5128,Myricaria germanica,Tamaricaceae,Myricaria,germanica,Exotic,Vascular,Unclassified,Shrub,5128,MYRGER,Myricaria germanica,
MYRIOP,2226,Myriophyllum species,Haloragaceae,Myriophyllum,,Indigenous Non-Endemic,Vascular,Unclassified,SubShrub,2226,MYRIOP,Myriophyllum species,Milfoil; Water milfoil; 
MYRKER,3280,Myrsine kermadecensis,Primulaceae,Myrsine,kermadecensis,Indigenous Endemic,Vascular,Unclassified,Shrub,3280,MYRKER,Myrsine kermadecensis,Kermadec mapou; 
MYRMIN,8217,Myriocoleopsis minutissima,Lejeuneaceae,Myriocoleopsis,minutissima,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,8217,MYRMIN,Myriocoleopsis minutissima,
MYRNUM,2231,Myrsine nummularia,Primulaceae,Myrsine,nummularia,Indigenous Endemic,Vascular,Unclassified,Shrub,2231,MYRNUM,Myrsine nummularia,Creeping mapou; Creeping matipo; 
MYROBC,5278,Myrtus obcordata,Myrtaceae,Myrtus,obcordata,Indigenous Endemic,Vascular,Not Selected,Tree,2017,LOPOBC,Lophomyrtus obcordata,
MYROLI,3492,Myrsine oliveri,Primulaceae,Myrsine,oliveri,Indigenous Endemic,Vascular,Unclassified,Tree,3492,MYROLI,Myrsine oliveri,
MYRPED,2224,Myriophyllum pedunculatum,Haloragaceae,Myriophyllum,pedunculatum,Indigenous Non-Endemic,Vascular,Unclassified,SubShrub,2224,MYRPED,Myriophyllum pedunculatum,
MYRPRO,2225,Myriophyllum propinquum,Haloragaceae,Myriophyllum,propinquum,Indigenous Non-Endemic,Vascular,Unclassified,SubShrub,2225,MYRPRO,Myriophyllum propinquum,Common water milfoil; 
MYRPSN,7825,Myriophyllum pedunculatum subsp. novae-zelandiae,Haloragaceae,Myriophyllum,pedunculatum,Indigenous Endemic,Vascular,Unclassified,SubShrub,7825,MYRPSN,Myriophyllum pedunculatum subsp. novae-zelandiae,
MYRROB,6830,Myriophyllum robustum,Haloragaceae,Myriophyllum,robustum,Indigenous Endemic,Vascular,Unclassified,SubShrub,6830,MYRROB,Myriophyllum robustum,Stout water milfoil; 
MYRSAL,2232,Myrsine salicina,Primulaceae,Myrsine,salicina,Indigenous Endemic,Vascular,Not Selected,Tree,2232,MYRSAL,Myrsine salicina,Toro; 
MYRSIN,2233,Myrsine species,Primulaceae,Myrsine,,Indigenous Non-Endemic,Vascular,Unclassified,WoodyMixed,2233,MYRSIN,Myrsine species,Māpou; Matipo; 
MYRTRI,3232,Myriophyllum triphyllum,Haloragaceae,Myriophyllum,triphyllum,Indigenous Endemic,Vascular,Unclassified,SubShrub,3232,MYRTRI,Myriophyllum triphyllum,Water milfoil; 
MYRTUS,6174,Myrtus species,Myrtaceae,Myrtus,,Unknown,Vascular,Unclassified,WoodyMixed,6174,MYRTUS,Myrtus species,Myrtle; 
MYRUMB,7890,Myrsine umbricola,Primulaceae,Myrsine,umbricola,Indigenous Endemic,Vascular,Unclassified,Unknown,7890,MYRUMB,Myrsine umbricola,
MYRVOT,2227,Myriophyllum votschii,Haloragaceae,Myriophyllum,votschii,Indigenous Endemic,Vascular,Unclassified,SubShrub,2227,MYRVOT,Myriophyllum votschii,Small water milfoil; 
MYRXMO,6231,Myrsine xmontana,Primulaceae,Myrsine,×montana,Indigenous Endemic,Vascular,Unclassified,Tree,6231,MYRXMO,Myrsine xmontana,
NARCIS,2234,Narcissus species,Amaryllidaceae,Narcissus,,Exotic,Vascular,Unclassified,Graminoid,2234,NARCIS,Narcissus species,Daffodil; Jonquil; Narcissus; 
NARSTR,4206,Nardus stricta,Gramineae,Nardus,stricta,Exotic,Vascular,Unclassified,Graminoid,4206,NARSTR,Nardus stricta,Mat grass; 
NASMIC,3738,Nasturtium microphyllum,Cruciferae,Nasturtium,microphyllum,Exotic,Vascular,Unclassified,Forb,3738,NASMIC,Nasturtium microphyllum,Kōwhitiwhiti; Watercress; 
NASNEE,6345,Nassella neesiana,Gramineae,Nassella,neesiana,Exotic,Vascular,Unclassified,Graminoid,6345,NASNEE,Nassella neesiana,Chilean needle grass; 
NASOFF,2238,Nasturtium officinale,Cruciferae,Nasturtium,officinale,Exotic,Vascular,Unclassified,Forb,2238,NASOFF,Nasturtium officinale,Kōwhitiwhiti; True cress; Watercress; 
NASSEL,7925,Nassella species,Gramineae,Nassella,,Exotic,Vascular,Unclassified,Unknown,7925,NASSEL,Nassella species,
NASTRI,2237,Nassella trichotoma,Gramineae,Nassella,trichotoma,Exotic,Vascular,Unclassified,Graminoid,2237,NASTRI,Nassella trichotoma,Nassella tussock; Serrated tussock; 
NASTUR,2239,Nasturtium species,Cruciferae,Nasturtium,,Exotic,Vascular,Unclassified,Forb,2239,NASTUR,Nasturtium species,
NATHDW,2240,Native hardwood,,,,Unknown,Vascular,Unclassified,WoodyMixed,2240,NATHDW,Native hardwood,
NAVARR,2236,Navarretia species,Polemoniaceae,Navarretia,,Exotic,Vascular,Unclassified,Forb,2236,NAVARR,Navarretia species,
NAVSQU,2235,Navarretia squarrosa,Polemoniaceae,Navarretia,squarrosa,Exotic,Vascular,Unclassified,Forb,2235,NAVSQU,Navarretia squarrosa,Californian stinkweed; 
NECHYM,8037,Neckera hymenodonta,Neckeraceae,Neckera,hymenodonta,Indigenous Non-Endemic,Non Vascular,Unclassified,Unknown,7946,ALLHYM,Alleniella hymenodonta,
NECKER,3763,Neckera species,Neckeraceae,Neckera,,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,3763,NECKER,Neckera species,
NECLAE,3893,Neckera laevigata,Neckeraceae,Neckera,laevigata,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,3893,NECLAE,Neckera laevigata,
NECPEN,2241,Neckera pennata,Neckeraceae,Neckera,pennata,Absent,Non Vascular,Unclassified,NonVascular,2241,NECPEN,Neckera pennata,
NEMACU,5515,Nematoceras acuminatum,Orchidaceae,Nematoceras,acuminatum,Indigenous Endemic,Vascular,Unclassified,Forb,1085,CORACU,Corybas acuminatus,
NEMATO,5330,Nematoceras species,Orchidaceae,Nematoceras,,Indigenous Non-Endemic,Vascular,Unclassified,Forb,1090,CORYBA,Corybas species,
NEMFLO,6537,Nemesia floribunda,Scrophulariaceae,Nemesia,floribunda,Exotic,Vascular,Unclassified,Forb,6537,NEMFLO,Nemesia floribunda,
NEMHYP,7364,Nematoceras hypogaeum,Orchidaceae,Nematoceras,hypogaeum,Indigenous Endemic,Vascular,Unclassified,Forb,8094,CORHYP,Corybas hypogaeus,
NEMLON,6380,Nematoceras longipetalum,Orchidaceae,Nematoceras,longipetalum,Indigenous Endemic,Vascular,Unclassified,Forb,8149,CORHAT,Corybas hatchii,
NEMMAC,6205,Nematoceras macranthum,Orchidaceae,Nematoceras,macranthum,Indigenous Endemic,Vascular,Unclassified,Forb,1086,CORMAC,Corybas macranthus,
NEMORB,6206,Nematoceras orbiculatum,Orchidaceae,Nematoceras,orbiculatum,Indigenous Endemic,Vascular,Unclassified,Forb,1088,CORORB,Corybas orbiculatus,
NEMRIV,5518,Nematoceras rivulare,Orchidaceae,Nematoceras,rivulare,Indigenous Endemic,Vascular,Unclassified,Forb,1089,CORRIV,Corybas rivularis,
NEMTRI,5442,Nematoceras trilobum,Orchidaceae,Nematoceras,trilobum,Indigenous Endemic,Vascular,Unclassified,Forb,1091,CORTRI,Corybas trilobus,
NEOADP,3134,Neofuscelia adpicta,Parmeliaceae,Neofuscelia,adpicta,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,7067,XANADP,Xanthoparmelia adpicta,
NEOARB,2244,Neopanax arboreus,Araliaceae,Neopanax,arboreus,Indigenous Endemic,Vascular,Preferred,Tree,2568,PSEARB,Pseudopanax arboreus,
NEOAUS,2247,Neopaxia australasica,Portulacaceae,Neopaxia,australasica,Absent,Vascular,Unclassified,Forb,2179,MONAUS,Montia australasica,
NEOCAL,5385,Neopaxia calycina,Portulacaceae,Neopaxia,calycina,Indigenous Endemic,Vascular,Unclassified,Forb,2180,MONCAL,Montia calycina,
NEOCOL,2570,Pseudopanax colensoi,Araliaceae,Pseudopanax,colensoi,Indigenous Endemic,Vascular,Preferred,Tree,2570,NEOCOL,Pseudopanax colensoi,Mountain five-finger; Orihou; Three-finger; 
NEOFUS,3133,Neofuscelia species,Parmeliaceae,Neofuscelia,,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,3141,XANTHO,Xanthoparmelia species,
NEOGIB,7515,Neolepidozia gibbsiana,Lepidoziaceae,Neolepidozia,gibbsiana,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,7515,NEOGIB,Neolepidozia gibbsiana,
NEOGLA,5682,Neofuscelia glabrans,Parmeliaceae,Neofuscelia,glabrans,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,7110,XANGLB,Xanthoparmelia glabrans,
NEOHOD,7516,Neolepidozia hodgsoniae,Lepidoziaceae,Neolepidozia,hodgsoniae,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,7516,NEOHOD,Neolepidozia hodgsoniae,
NEOLEP,8049,Neolepidozia species,Lepidoziaceae,Neolepidozia,,Indigenous Non-Endemic,Non Vascular,Unclassified,Unknown,8049,NEOLEP,Neolepidozia species,
NEOMEL,5663,Neophyllis melacarpa,Cladoniaceae,Neophyllis,melacarpa,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,5663,NEOMEL,Neophyllis melacarpa,
NEOMER,7517,Neolepidozia meridiana,Lepidoziaceae,Neolepidozia,meridiana,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,7517,NEOMER,Neolepidozia meridiana,
NEOMYR,2243,Neomyrtus species,Myrtaceae,Neomyrtus,,Indigenous Endemic,Vascular,Unclassified,WoodyMixed,2243,NEOMYR,Neomyrtus species,
NEONOT,8072,Neogrollea notabilis,Lepidoziaceae,Neogrollea,notabilis,Indigenous Non-Endemic,Non Vascular,Unclassified,Unknown,8072,NEONOT,Neogrollea notabilis,
NEOPAL,7518,Neolepidozia paludicola,Lepidoziaceae,Neolepidozia,paludicola,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,7518,NEOPAL,Neolepidozia paludicola,
NEOPAN,2246,Neopanax species,Araliaceae,Neopanax,,Unknown,Vascular,Unclassified,WoodyMixed,2246,NEOPAN,Neopanax species,
NEOPAT,7519,Neolepidozia patentissima,Lepidoziaceae,Neolepidozia,patentissima,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,7519,NEOPAT,Neolepidozia patentissima,
NEOPAX,7670,Neopaxia species,Portulacaceae,Neopaxia,,Indigenous Non-Endemic,Vascular,Unclassified,Forb,2182,MONTIA,Montia species,
NEOPED,2242,Neomyrtus pedunculata,Myrtaceae,Neomyrtus,pedunculata,Indigenous Endemic,Vascular,Avoided,Tree,2242,NEOPED,Neomyrtus pedunculata,Myrtle; Rōhutu; rōutu; 
NEOPEL,5752,Neofuscelia peloloba,Parmeliaceae,Neofuscelia,peloloba,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,7068,XANPEL,Xanthoparmelia peloloba,
NEOPEN,7521,Neolepidozia pennata,Lepidoziaceae,Neolepidozia,pennata,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,7521,NEOPEN,Neolepidozia pennata,
NEOPIC,5841,Neofuscelia pictada,Parmeliaceae,Neofuscelia,pictada,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,7069,XANPIC,Xanthoparmelia pictada,
NEOPRA,7522,Neolepidozia praenitens,Lepidoziaceae,Neolepidozia,praenitens,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,7522,NEOPRA,Neolepidozia praenitens,
NEOPVA,7520,Neolepidozia patentissima var. ampliata,Lepidoziaceae,Neolepidozia,patentissima,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,7520,NEOPVA,Neolepidozia patentissima var. ampliata,
NEOPVP,7523,Neolepidozia praenitens var. praenitens,Lepidoziaceae,Neolepidozia,praenitens,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,7523,NEOPVP,Neolepidozia praenitens var. praenitens,
NEOPVS,7637,Neolepidozia patentissima var. patentissima,Lepidoziaceae,Neolepidozia,patentissima,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,7637,NEOPVS,Neolepidozia patentissima var. patentissima,
NEOPVZ,7548,Neolepidozia patentissima var. zebrina,Lepidoziaceae,Neolepidozia,patentissima,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,7548,NEOPVZ,Neolepidozia patentissima var. zebrina,
NEOSES,2248,Neopaxia sessiliflora,Portulacaceae,Neopaxia,sessiliflora,Indigenous Endemic,Vascular,Unclassified,Forb,6232,MONSES,Montia sessiliflora,
NEOSIM,2245,Neopanax simplex,Araliaceae,Neopanax,simplex,Indigenous Endemic,Vascular,Not Selected,Tree,2719,RAUSIM,Raukaua simplex,
NEOSIN,5272,Neopanax simplex var. sinclairii,Araliaceae,Neopanax,simplex,Indigenous Endemic,Vascular,Not Selected,Tree,5525,RAUSVS,Raukaua simplex var. sinclairii,
NEOSTY,5700,Neofuscelia stygiodes,Parmeliaceae,Neofuscelia,stygiodes,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,7072,XANSTY,Xanthoparmelia stygiodes,
NEOTET,7524,Neolepidozia tetrapila,Lepidoziaceae,Neolepidozia,tetrapila,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,7524,NEOTET,Neolepidozia tetrapila,
NEOTRI,7527,Neolepidozia tridactylis,Lepidoziaceae,Neolepidozia,tridactylis,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,7527,NEOTRI,Neolepidozia tridactylis,
NEOTVC,7525,Neolepidozia tetrapila var. cancellata,Lepidoziaceae,Neolepidozia,tetrapila,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,7525,NEOTVC,Neolepidozia tetrapila var. cancellata,
NEOTVR,7526,Neolepidozia tetrapila var. roseana,Lepidoziaceae,Neolepidozia,tetrapila,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,7526,NEOTVR,Neolepidozia tetrapila var. roseana,
NEOTVT,7631,Neolepidozia tetrapila var. tetrapila,Lepidoziaceae,Neolepidozia,tetrapila,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,7631,NEOTVT,Neolepidozia tetrapila var. tetrapila,
NEOVES,5540,Neofuscelia verisidiosa,Parmeliaceae,Neofuscelia,verisidiosa,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,7112,XANVES,Xanthoparmelia verisidiosa,
NEOVRR,5541,Neofuscelia verrucella,Parmeliaceae,Neofuscelia,verrucella,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,7113,XANVRR,Xanthoparmelia verrucella,
NEPAUS,4636,Nephroma australe,Nephromataceae,Nephroma,australe,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,4636,NEPAUS,Nephroma australe,
NEPCAT,5094,Nepeta cataria,Labiatae,Nepeta,cataria,Exotic,Vascular,Unclassified,Forb,5094,NEPCAT,Nepeta cataria,Catnip; 
NEPCEL,4637,Nephroma cellulosum,Nephromataceae,Nephroma,cellulosum,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,4637,NEPCEL,Nephroma cellulosum,
NEPCON,4634,Nephelolejeunea conchophylla,Lejeuneaceae,Nephelolejeunea,conchophylla,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,4634,NEPCON,Nephelolejeunea conchophylla,
NEPCOR,2249,Nephrolepis cordifolia,Nephrolepidaceae,Nephrolepis,cordifolia,Exotic,Vascular,Unclassified,Fern,2249,NEPCOR,Nephrolepis cordifolia,Erect sword fern; Fishbone fern; Herringbone fern; Ladder fern; Tuber ladder fern; Tuber sword fern; 
NEPCVI,5984,Nephroma cellulosum var. isidioferum,Nephromataceae,Nephroma,cellulosum,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,5984,NEPCVI,Nephroma cellulosum var. isidioferum,
NEPFLE,7330,Nephrolepis flexuosa,Nephrolepidaceae,Nephrolepis,flexuosa,Indigenous Non-Endemic,Vascular,Unclassified,Fern,7330,NEPFLE,Nephrolepis flexuosa,
NEPHAM,5000,Nephelolejeunea hamata,Lejeuneaceae,Nephelolejeunea,hamata,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,5000,NEPHAM,Nephelolejeunea hamata,
NEPHEL,5563,Nephroma helveticum,Nephromataceae,Nephroma,helveticum,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,5563,NEPHEL,Nephroma helveticum,
NEPHIS,8218,Nephelolejeunea hispida,Lejeuneaceae,Nephelolejeunea,hispida,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,8218,NEPHIS,Nephelolejeunea hispida,
NEPHRL,7331,Nephrolepis species,Nephrolepidaceae,Nephrolepis,,Indigenous Non-Endemic,Vascular,Unclassified,Fern,7331,NEPHRL,Nephrolepis species,Ladder fern; Sword fern; 
NEPHRO,3480,Nephroma species,Nephromataceae,Nephroma,,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,3480,NEPHRO,Nephroma species,
NEPLEP,5556,Nephroma lepidophyllum,Nephromataceae,Nephroma,lepidophyllum,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,5984,NEPCVI,Nephroma cellulosum var. isidioferum,
NEPPAP,4635,Nephelolejeunea papillosa,Lejeuneaceae,Nephelolejeunea,papillosa,Indigenous Endemic,Non vascular,Unclassified,NonVascular,4635,NEPPAP,Nephelolejeunea papillosa,
NEPPLU,6513,Nephroma plumbeum,Nephromataceae,Nephroma,plumbeum,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,6513,NEPPLU,Nephroma plumbeum,
NEPPVI,5824,Nephroma plumbeum var. isidiatum,Nephromataceae,Nephroma,plumbeum,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,5824,NEPPVI,Nephroma plumbeum var. isidiatum,
NEPRUF,3890,Nephroma rufum,Nephromataceae,Nephroma,rufum,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,3890,NEPRUF,Nephroma rufum,
NERAFV,6746,Nertera aff. villosa,,,,Unknown,Vascular,Unclassified,SubShrub,6746,NERAFV,Nertera aff. villosa,
NERBAL,2250,Nertera balfouriana,Rubiaceae,Nertera,balfouriana,Indigenous Endemic,Vascular,Unclassified,SubShrub,2250,NERBAL,Nertera balfouriana,
NERCIL,2251,Nertera ciliata,Rubiaceae,Nertera,ciliata,Indigenous Endemic,Vascular,Unclassified,SubShrub,2251,NERCIL,Nertera ciliata,
NERCUN,2252,Nertera cunninghamii,Rubiaceae,Nertera,cunninghamii,Indigenous Endemic,Vascular,Unclassified,SubShrub,2252,NERCUN,Nertera cunninghamii,
NERDEP,2253,Nertera depressa,Rubiaceae,Nertera,depressa,Indigenous Non-Endemic,Vascular,Unclassified,SubShrub,2253,NERDEP,Nertera depressa,Bead plant; Fruiting duckweed; Nertera; 
